Product_ID,SKU,Generated_Product_Type
15794244977020,PROD-15794244977020,Furniture
15792184131964,PROD-15792184131964,Heater Black
15792180920700,PROD-15792180920700,Heater White
15792178725244,PROD-15792178725244,Heater Yellow
15792174334332,PROD-15792174334332,Heater Yellow
15453560177020,PROD-15453560177020,Furniture Set
15453553590652,PROD-15453553590652,Furniture
15453549691260,PROD-15453549691260,Sofa
15451495825788,PROD-15451495825788,Furniture
15451495793020,PROD-15451495793020,Wicker Set
15451495661948,PROD-15451495661948,Puzzle Grey
15451495563644,PROD-15451495563644,Furniture
15451495498108,PROD-15451495498108,Furniture Grey
15451495432572,PROD-15451495432572,Furniture
15451495367036,PROD-15451495367036,Furniture
15228734439804,PROD-15228734439804,Furniture Beige
15228712649084,PROD-15228712649084,Rodent Grey
15228710912380,PROD-15228710912380,Furniture Set
15142103122300,PROD-15142103122300,Beverage
15049199223164,PROD-15049199223164,Butterfly Yellow
15049199157628,PROD-15049199157628,Butterfly Yellow
15049199059324,PROD-15049199059324,Butterfly Yellow
15049198535036,PROD-15049198535036,Rackets
15049197289852,PROD-15049197289852,Furniture Set
15049197224316,PROD-15049197224316,Furniture Set
15049196929404,PROD-15049196929404,Furniture Set
15049196765564,PROD-15049196765564,Furniture
15049196601724,PROD-15049196601724,Furniture Set
15049196470652,PROD-15049196470652,Furniture
15049196339580,PROD-15049196339580,Furniture Black
15049195913596,PROD-15049195913596,Furniture Set
15049195848060,PROD-15049195848060,Furniture
15049195749756,PROD-15049195749756,Furniture
15049194865020,PROD-15049194865020,Aircraft
15049193324924,PROD-15049193324924,Aircraft
15049193226620,PROD-15049193226620,Paintbrush
15049197617532,PROD-15049197617532,Oven
15567992815996,STOCKING-DELUXE-GREEN-SH5309,Stocking Green
15568118415740,11541D-ANGEL-SMALL,Figurine
15568015458684,11542D-REINDEER-FIGURE-1PC,Ornament Red
15569566400892,11542A-SANTA-FIGURE-1PC,Ornament Red
15567839330684,11542B-SNOWMAN-FIGURE-1PC,Snowman_Accessory Red
15568221471100,11542C-CLEAR-SNOWMAN-FIGURE-1PC,Snowman_Candleholder White
15568324952444,3460-PONYTAIL-HAT-1PK,Santahat Red
15556479156604,154390-SACK-1PC,Giftbag Red
15568007594364,SANTA-BEARD-AND-EYE-BROW,Keychain White
15569795187068,3463-BUDGET-SANTA-HAT-1PK,Santahat White
15569784897916,SANTA-STOCKING-SMALL-DELUXE-5312,Stocking White
15556555014524,231213-MUSICAL-NUT-ANY-ONE-30CM,Decoration Red
15568078930300,CHRISTMAS-ROLL-WRAP-10M-CUTE-1PK,Giftwrap Red
15556550525308,3525-CHRISTMAS-CHAIR-HAT-COVER-1PK,Santahat Red
15568204759420,15666-CHRISTMAS-GLASSES-1PCS,Mannequin Red
15556472570236,6764-SANTA-SACK-1PCS,Bag Red
15567850144124,3463-BUDGET-SANTA-HAT-10PK,Santa_Hat Red
15567868854652,15437-SACK-10PCS,Giftbag Red
15567808299388,3525-CHRISTMAS-CHAIR-HAT-COVER-10PK,Chair Red
15567822586236,5015-SNOW-MAN-TOILET-SEAT-COVER-10PK,Toilet_Snowman_Decor White
15567933145468,3453-BUDGET-SANTA-SUIT-10PCS,Costume Red
15568314171772,11868-CHRISTMAS-LANTERN,Lumina Snowglobe
15567775727996,11867-CHRISTMAS-LANTERN,Candleglobe White
15568084042108,6174-CHRISTMAS-BOTTLE-COVER-WOMEN-100PK,Santahatbottle Red
15664908108156,240118-G-MC-LED-100-LIGHT-SHORT,Lights
15049192604028,BS00200-3-IN-1-TEST-STRIPS-4PK,Set White
15664895459708,200289-G-CW-LED-100-LIGHT,Christmaslight Red
15664900964732,200307-G-MC-LED-100-LIGHT,Decoration Red
15664904896892,200298-G-WW-LED-100-LIGHT,Lightwreath
15568325935484,3463-BUDGET-SANTA-HAT-100PK,Santahat Red
15569665589628,CHRISTMAS-WINDOW-STICKERS-6790-5PK,Decoration White
15568196436348,3525-CHRISTMAS-CHAIR-HAT-COVER-100PK,Santahat Red
15664918102396,240106-G-CW-LED-1000-LIGHT-SHORT,Decoration Red
15664929833340,240115-G-WW-LED-1000-LIGHT-SHORT,Christmaslight Red
15664915710332,200295-G-CW-LED-1000-LIGHT,Decoration Red
15664904143228,234047-G-W+WW-COMPACT-1000-LIGHT,Decoration White
15664921379196,200354-G-WW-COMPACT-1000-LIGHT,Lightwreath Red
15664910303612,234032-G-W+WW-LED-1000,Luminouswreath
15664906830204,234026-G-W+WW-LED-100,Lightwreath
15569677484412,3459-PREMIUM-SANTA-HAT-100PCS,Hat Red
15568335143292,15415-WOODEN-ORNAMENT-1PCS,Cross
15569605067132,15416-WOODEN-ORNAMENT-1PCS,Ornament White
15569593762172,15406-WOODEN-ORNAMENT-1PCS,Ornament Green
15568058974588,15409-WOODEN-ORNAMENT-1PCS,Ornament Brown
15568062153084,15408-WOODEN-ORNAMENT-1PCS,Ornament Brown
15567770419580,15410-WOODEN-ORNAMENT-1PCS,Stamp Brown
15567855419772,15411-WOODEN-ORNAMENT-1PC,Ornament Green
15568295919996,11844-SPIRAL-TREE-BELL-10IN,Decoratedtree Green
15569736794492,116630-NATIVITY-FIGURES-12PCS,Sculptures
15569796563324,116610-NATIVITY-FIGURES-10PCS,Sculpture
15567827501436,3471-CHIMNEY-HAT-12PK,Dog-Top-Hat
15556475158908,15674-CHRISTMAS-GLASSES-ASSORTED-12PK,Mask
15569593860476,15679-CHRISTMAS-GLASSES-ASSORTED-12PK,Masks Red
15556577558908,260705-PVC-BAUBLES-DOTS-3CM-12PCS,Ornament Red
15568138469756,SANTA-HAT-BOTTLE-TOPPER-12PCS,Hats Red
15568273506684,6174-CHRISTMAS-BOTTLE-COVER-WOMEN-12PK,Bottle Red
15556592238972,260693-PVC-BAUBLES-DARK-RED-3CM-12PCS,Ornament
15569624105340,5316-STOCKING-MARRYCHRISTMAS-12PCS,Stocking Red
15568331047292,11541-ANGEL-SMALL-FIGURE-12PK,Ornament White
15569620533628,11542-SMALL-CHRIST-FIGURE-12PK,Snowmanbox White
15556500816252,260703-PVC-BAUBLES-MID-GREY-3CM-12PCS,Ornament
15568333111676,11555-FOAM-BAUBLES-RED,Ornament Red
15569593958780,6767-6770-CHRISTMAS-HEADBAND-12PCS,Headband Red
15569551425916,260704-PVC-BAUBLES-CANDY-STRIPE-3CM-12PCS,Ornament Red
15569581408636,CHRISTMAS-STOCKING-BUDGET-531700-12PCS,Stocking Red
15568158785916,3463-BUDGET-SANTA-HAT-12PK,Hat White
15567874163068,15437-SACK-12PCS,Giftbag Red
15568240312700,SANTA-STOCKING-SMALL-DELUXE-5312-12PK,Stocking Red
